test_date,primary,cohort_name,n_members,window_start,window_end,intra_corr_1y,pc1_variance_pct,p_independence_intra,p_random_basket_intra,p_random_basket_pc1,n_permutations,holdout_window,train_intra,test_intra,train_pc1_pct,test_pc1_pct,stability_ratio,threshold_stable_width,threshold_stable_ranges,definition_date,oos_start,oos_end,oos_obs,oos_intra,oos_pc1_pct,oos_vs_insample_ratio,p_oos_random_basket,oos_verdict,p_vol_matched_intra,p_vol_matched_pc1
2026-06-10,KTOS,Golden Dome defense-tech,5,2025-05-08,2026-05-08,0.4022,52.91,,0.0013998600139986002,0.0016998300169983002,10000,2y,0.4471,0.4003,56.06,52.77,0.8953,0.0,none,2026-05-10,2026-05-12,2026-06-10,19,0.675,74.9,1.6715,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,NVDA,Hyperscaler supplier chain,8,2025-04-30,2026-04-30,0.6029,65.82,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.7982,0.6028,82.53,65.81,0.7552,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.6431,70.1,1.0615,0.0001,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,HINDALCO.NS,Indian metals,4,2025-04-30,2026-04-30,0.4182,58.19,,0.0112988701129887,0.009099090090990901,10000,2y,0.7358,0.418,80.25,58.17,0.568,0.0,none,2026-05-06,2026-05-07,2026-06-10,25,0.5256,65.02,1.22,0.005799,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,AJG,Insurance brokers basket,6,2025-04-30,2026-04-30,0.6548,71.61,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.6996,0.6566,75.14,71.75,0.9385,0.1,0.50-0.60,2026-05-03,2026-05-05,2026-06-10,24,0.867,88.97,1.3475,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,PGR,Insurance carriers,8,2025-04-30,2026-04-30,0.4595,54.01,,0.00029997000299970003,0.00019998000199980003,10000,2y,0.6498,0.4583,69.55,53.92,0.7053,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.6328,68.94,1.4017,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,005930.KS,Korea Memory,2,2025-05-08,2026-05-08,0.7311,86.56,,0.0030996900309969004,0.0030996900309969004,10000,2y,0.5395,0.7312,76.97,86.56,1.3554,0.45,0.25-0.70,2026-05-11,2026-05-12,2026-06-10,20,0.8014,90.07,1.091,0.008899,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,MET,Life insurers pair,2,2025-04-30,2026-04-30,0.71,85.5,,0.0034996500349965005,0.0034996500349965005,10000,2y,0.9078,0.7111,95.39,85.56,0.7834,0.05,0.35-0.40,2026-05-03,2026-05-05,2026-06-10,24,0.7178,85.89,1.0063,0.007499,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,NVDA,Mag 7,7,2025-05-08,2026-05-08,0.3147,41.74,,0.004999500049995001,0.0105989401059894,10000,2y,0.7195,0.3157,76.12,41.82,0.4387,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.2261,37.94,0.7295,0.050995,PRELIMINARY OOS-WEAKENED,,
2026-06-10,JPM,Mega banks,5,2025-04-30,2026-04-30,0.7291,78.4,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.8294,0.729,86.38,78.4,0.879,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.692,75.96,0.9494,0.0001,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,TRV,P&C insurance carriers,5,2025-04-30,2026-04-30,0.6459,71.81,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.7329,0.6449,78.76,71.74,0.88,0.15,0.45-0.60,2026-05-03,2026-05-05,2026-06-10,24,0.7831,82.77,1.2199,0.0001,PRELIMINARY OOS-STRENGTHENING,,
